"Project";"Task";"Note";"Start date & time";"End date & time";"Start date";"Start time";"End date";"End time";"Duration";"Duration in hours";"Tags";
"Здоровье";"Еда";"";"2 янв. 2021 г. 07:08:01";"2 янв. 2021 г. 07:09:06";"2 янв. 2021 г.";"07:08:01";"2 янв. 2021 г.";"07:09:06";"0:01";"0,02";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 07:09:06";"2 янв. 2021 г. 07:37:29";"2 янв. 2021 г.";"07:09:06";"2 янв. 2021 г.";"07:37:29";"0:28";"0,47";"";
"Сон";"";"";"2 янв. 2021 г. 07:37:29";"2 янв. 2021 г. 08:14:59";"2 янв. 2021 г.";"07:37:29";"2 янв. 2021 г.";"08:14:59";"0:37";"0,62";"";
"Уход за семьей";"Организация";"";"2 янв. 2021 г. 08:14:59";"2 янв. 2021 г. 08:18:29";"2 янв. 2021 г.";"08:14:59";"2 янв. 2021 г.";"08:18:29";"0:03";"0,06";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 08:18:29";"2 янв. 2021 г. 09:28:08";"2 янв. 2021 г.";"08:18:29";"2 янв. 2021 г.";"09:28:08";"1:09";"1,16";"";
"Развитие";"Развивающее чтение/видео";"";"2 янв. 2021 г. 09:28:08";"2 янв. 2021 г. 09:33:21";"2 янв. 2021 г.";"09:28:08";"2 янв. 2021 г.";"09:33:21";"0:05";"0,09";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 09:33:21";"2 янв. 2021 г. 09:56:53";"2 янв. 2021 г.";"09:33:21";"2 янв. 2021 г.";"09:56:53";"0:23";"0,39";"";
"Сон";"";"";"2 янв. 2021 г. 09:56:53";"2 янв. 2021 г. 10:09:27";"2 янв. 2021 г.";"09:56:53";"2 янв. 2021 г.";"10:09:27";"0:12";"0,21";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 10:09:27";"2 янв. 2021 г. 10:11:41";"2 янв. 2021 г.";"10:09:27";"2 янв. 2021 г.";"10:11:41";"0:02";"0,04";"";
"Общение";"Животные";"";"2 янв. 2021 г. 10:11:41";"2 янв. 2021 г. 10:16:47";"2 янв. 2021 г.";"10:11:41";"2 янв. 2021 г.";"10:16:47";"0:05";"0,09";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 10:16:47";"2 янв. 2021 г. 10:18:52";"2 янв. 2021 г.";"10:16:47";"2 янв. 2021 г.";"10:18:52";"0:02";"0,03";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 10:18:52";"2 янв. 2021 г. 11:25:23";"2 янв. 2021 г.";"10:18:52";"2 янв. 2021 г.";"11:25:23";"1:06";"1,11";"";
"Прочее";"Сборы";"";"2 янв. 2021 г. 11:25:23";"2 янв. 2021 г. 11:30:11";"2 янв. 2021 г.";"11:25:23";"2 янв. 2021 г.";"11:30:11";"0:04";"0,08";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 11:30:11";"2 янв. 2021 г. 11:31:47";"2 янв. 2021 г.";"11:30:11";"2 янв. 2021 г.";"11:31:47";"0:01";"0,03";"";
"Прочее";"Сборы";"";"2 янв. 2021 г. 11:31:47";"2 янв. 2021 г. 11:34:15";"2 янв. 2021 г.";"11:31:47";"2 янв. 2021 г.";"11:34:15";"0:02";"0,04";"";
"Уход за семьей";"Готовка";"";"2 янв. 2021 г. 11:34:15";"2 янв. 2021 г. 11:46:33";"2 янв. 2021 г.";"11:34:15";"2 янв. 2021 г.";"11:46:33";"0:12";"0,2";"";
"Здоровье";"Еда";"";"2 янв. 2021 г. 11:46:33";"2 янв. 2021 г. 11:56:53";"2 янв. 2021 г.";"11:46:33";"2 янв. 2021 г.";"11:56:53";"0:10";"0,17";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 11:56:53";"2 янв. 2021 г. 12:07:34";"2 янв. 2021 г.";"11:56:53";"2 янв. 2021 г.";"12:07:34";"0:10";"0,18";"Уход за кожей и/или волосами|Чистка зубов";
"Уход за семьей";"Организация";"";"2 янв. 2021 г. 12:07:34";"2 янв. 2021 г. 12:49:48";"2 янв. 2021 г.";"12:07:34";"2 янв. 2021 г.";"12:49:48";"0:42";"0,7";"Дневник";
"Общение";"Друзья";"";"2 янв. 2021 г. 12:49:48";"2 янв. 2021 г. 12:52:56";"2 янв. 2021 г.";"12:49:48";"2 янв. 2021 г.";"12:52:56";"0:03";"0,05";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 12:52:56";"2 янв. 2021 г. 13:39:23";"2 янв. 2021 г.";"12:52:56";"2 янв. 2021 г.";"13:39:23";"0:46";"0,77";"Фанфик";
"Уход за семьей";"Организация";"";"2 янв. 2021 г. 13:39:23";"2 янв. 2021 г. 13:44:23";"2 янв. 2021 г.";"13:39:23";"2 янв. 2021 г.";"13:44:23";"0:05";"0,08";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 13:44:23";"2 янв. 2021 г. 13:47:24";"2 янв. 2021 г.";"13:44:23";"2 янв. 2021 г.";"13:47:24";"0:03";"0,05";"";
"Уход за семьей";"Уборка / стирка";"";"2 янв. 2021 г. 13:47:24";"2 янв. 2021 г. 13:52:28";"2 янв. 2021 г.";"13:47:24";"2 янв. 2021 г.";"13:52:28";"0:05";"0,08";"";
"Общение";"Семья";"";"2 янв. 2021 г. 13:52:28";"2 янв. 2021 г. 14:00:48";"2 янв. 2021 г.";"13:52:28";"2 янв. 2021 г.";"14:00:48";"0:08";"0,14";"Мама";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 14:00:48";"2 янв. 2021 г. 14:06:24";"2 янв. 2021 г.";"14:00:48";"2 янв. 2021 г.";"14:06:24";"0:05";"0,09";"";
"Уход за семьей";"Готовка";"";"2 янв. 2021 г. 14:06:24";"2 янв. 2021 г. 14:12:25";"2 янв. 2021 г.";"14:06:24";"2 янв. 2021 г.";"14:12:25";"0:06";"0,1";"";
"Здоровье";"Еда";"";"2 янв. 2021 г. 14:12:25";"2 янв. 2021 г. 14:27:48";"2 янв. 2021 г.";"14:12:25";"2 янв. 2021 г.";"14:27:48";"0:15";"0,26";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 14:27:48";"2 янв. 2021 г. 14:29:05";"2 янв. 2021 г.";"14:27:48";"2 янв. 2021 г.";"14:29:05";"0:01";"0,02";"";
"Уход за семьей";"Организация";"";"2 янв. 2021 г. 14:29:05";"2 янв. 2021 г. 14:30:08";"2 янв. 2021 г.";"14:29:05";"2 янв. 2021 г.";"14:30:08";"0:01";"0,02";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 14:30:08";"2 янв. 2021 г. 15:09:21";"2 янв. 2021 г.";"14:30:08";"2 янв. 2021 г.";"15:09:21";"0:39";"0,65";"";
"Уход за семьей";"Уборка / стирка";"";"2 янв. 2021 г. 15:09:21";"2 янв. 2021 г. 15:32:50";"2 янв. 2021 г.";"15:09:21";"2 янв. 2021 г.";"15:32:50";"0:23";"0,39";"";
"Общение";"Соцсети";"";"2 янв. 2021 г. 15:32:50";"2 янв. 2021 г. 15:35:36";"2 янв. 2021 г.";"15:32:50";"2 янв. 2021 г.";"15:35:36";"0:02";"0,05";"";
"Уход за семьей";"Уборка / стирка";"";"2 янв. 2021 г. 15:35:36";"2 янв. 2021 г. 15:38:38";"2 янв. 2021 г.";"15:35:36";"2 янв. 2021 г.";"15:38:38";"0:03";"0,05";"";
"Общение";"Соцсети";"";"2 янв. 2021 г. 15:38:38";"2 янв. 2021 г. 15:39:58";"2 янв. 2021 г.";"15:38:38";"2 янв. 2021 г.";"15:39:58";"0:01";"0,02";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 15:39:58";"2 янв. 2021 г. 16:15:14";"2 янв. 2021 г.";"15:39:58";"2 янв. 2021 г.";"16:15:14";"0:35";"0,59";"";
"Уход за семьей";"Готовка";"";"2 янв. 2021 г. 16:15:14";"2 янв. 2021 г. 16:38:40";"2 янв. 2021 г.";"16:15:14";"2 янв. 2021 г.";"16:38:40";"0:23";"0,39";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 16:38:40";"2 янв. 2021 г. 17:18:28";"2 янв. 2021 г.";"16:38:40";"2 янв. 2021 г.";"17:18:28";"0:39";"0,66";"";
"Здоровье";"Еда";"";"2 янв. 2021 г. 17:18:28";"2 янв. 2021 г. 17:25:02";"2 янв. 2021 г.";"17:18:28";"2 янв. 2021 г.";"17:25:02";"0:06";"0,11";"";
"Уход за семьей";"Организация";"";"2 янв. 2021 г. 17:25:02";"2 янв. 2021 г. 17:28:07";"2 янв. 2021 г.";"17:25:02";"2 янв. 2021 г.";"17:28:07";"0:03";"0,05";"";
"Развлечения";"Интернет";"";"2 янв. 2021 г. 17:28:07";"2 янв. 2021 г. 17:38:53";"2 янв. 2021 г.";"17:28:07";"2 янв. 2021 г.";"17:38:53";"0:10";"0,18";"";
"Развлечения";"Игры";"";"2 янв. 2021 г. 17:38:53";"2 янв. 2021 г. 17:49:10";"2 янв. 2021 г.";"17:38:53";"2 янв. 2021 г.";"17:49:10";"0:10";"0,17";"";
"Общение";"Животные";"";"2 янв. 2021 г. 17:49:10";"2 янв. 2021 г. 18:02:18";"2 янв. 2021 г.";"17:49:10";"2 янв. 2021 г.";"18:02:18";"0:13";"0,22";"";
"Уход за семьей";"Уборка / стирка";"";"2 янв. 2021 г. 18:02:18";"2 янв. 2021 г. 18:04:24";"2 янв. 2021 г.";"18:02:18";"2 янв. 2021 г.";"18:04:24";"0:02";"0,04";"";
"Развлечения";"Игры";"";"2 янв. 2021 г. 18:04:24";"2 янв. 2021 г. 18:08:43";"2 янв. 2021 г.";"18:04:24";"2 янв. 2021 г.";"18:08:43";"0:04";"0,07";"";
"Уход за семьей";"Уборка / стирка";"";"2 янв. 2021 г. 18:08:43";"2 янв. 2021 г. 18:18:10";"2 янв. 2021 г.";"18:08:43";"2 янв. 2021 г.";"18:18:10";"0:09";"0,16";"";
"Развлечения";"Игры";"";"2 янв. 2021 г. 18:18:10";"2 янв. 2021 г. 18:51:16";"2 янв. 2021 г.";"18:18:10";"2 янв. 2021 г.";"18:51:16";"0:33";"0,55";"";
"Общение";"Животные";"";"2 янв. 2021 г. 18:51:16";"2 янв. 2021 г. 18:55:17";"2 янв. 2021 г.";"18:51:16";"2 янв. 2021 г.";"18:55:17";"0:04";"0,07";"";
"Развлечения";"Игры";"";"2 янв. 2021 г. 18:55:17";"2 янв. 2021 г. 19:13:22";"2 янв. 2021 г.";"18:55:17";"2 янв. 2021 г.";"19:13:22";"0:18";"0,3";"";
"Уход за семьей";"Готовка";"";"2 янв. 2021 г. 19:13:22";"2 янв. 2021 г. 19:15:05";"2 янв. 2021 г.";"19:13:22";"2 янв. 2021 г.";"19:15:05";"0:01";"0,03";"";
"Здоровье";"Еда";"";"2 янв. 2021 г. 19:15:05";"2 янв. 2021 г. 19:21:16";"2 янв. 2021 г.";"19:15:05";"2 янв. 2021 г.";"19:21:16";"0:06";"0,1";"";
"Общение";"Семья";"";"2 янв. 2021 г. 19:21:16";"2 янв. 2021 г. 19:31:03";"2 янв. 2021 г.";"19:21:16";"2 янв. 2021 г.";"19:31:03";"0:09";"0,16";"Мама";
"Здоровье";"Еда";"";"2 янв. 2021 г. 19:31:03";"2 янв. 2021 г. 19:37:08";"2 янв. 2021 г.";"19:31:03";"2 янв. 2021 г.";"19:37:08";"0:06";"0,1";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 19:37:08";"2 янв. 2021 г. 19:38:20";"2 янв. 2021 г.";"19:37:08";"2 янв. 2021 г.";"19:38:20";"0:01";"0,02";"";
"Уход за семьей";"Уборка / стирка";"";"2 янв. 2021 г. 19:38:20";"2 янв. 2021 г. 19:41:08";"2 янв. 2021 г.";"19:38:20";"2 янв. 2021 г.";"19:41:08";"0:02";"0,05";"";
"Здоровье";"Гигиена";"";"2 янв. 2021 г. 19:41:08";"2 янв. 2021 г. 19:43:50";"2 янв. 2021 г.";"19:41:08";"2 янв. 2021 г.";"19:43:50";"0:02";"0,05";"";
"Уход за семьей";"Организация";"";"2 янв. 2021 г. 19:43:50";"2 янв. 2021 г. 19:45:00";"2 янв. 2021 г.";"19:43:50";"2 янв. 2021 г.";"19:45:00";"0:01";"0,02";"";
"Продуктивность";"Исследование";"";"2 янв. 2021 г. 19:45:00";"2 янв. 2021 г. 19:47:38";"2 янв. 2021 г.";"19:45:00";"2 янв. 2021 г.";"19:47:38";"0:02";"0,04";"";
